merchant_id,week,segment,if_anomaly_score,personal_anomaly_score,anomaly_score,is_anomalous,refund_spike_flag,cumulative_refund_spikes
MID_0001,1,healthy,9.73631528197308,0.0,5.35,0,0,0
MID_0001,2,healthy,9.720177178517444,0.0,5.35,0,0,0
MID_0001,3,healthy,10.246036036655342,9.10704262734344,9.73,0,0,0
MID_0001,4,healthy,10.767230477966168,0.0,5.92,0,0,0
MID_0001,5,healthy,11.103350560360218,2.2295091971505867,7.11,0,0,0
MID_0001,6,healthy,6.956642777824332,6.863168991077415,6.91,0,0,0
MID_0001,7,healthy,12.751244188370462,8.326295445514566,10.76,0,0,0
MID_0001,8,healthy,7.529736455481078,20.709922458342884,13.46,0,0,0
MID_0001,9,healthy,18.03980285914215,22.2596867332712,19.94,0,0,0
MID_0001,10,healthy,10.204051411601688,20.425296129406654,14.8,0,0,0
MID_0001,11,healthy,9.002265893753405,13.174426626844197,10.88,0,0,0
MID_0001,12,healthy,3.6209455506951387,9.531263364607556,6.28,0,0,0
MID_0001,13,healthy,7.585848957380204,14.06045882662237,10.5,0,0,0
MID_0001,14,healthy,11.416829601417946,0.7587044729039112,6.62,0,0,0
MID_0001,15,healthy,10.346718418204569,9.230319472381282,9.84,0,0,0
MID_0001,16,healthy,15.859355108335704,8.047117998330632,12.34,0,0,0
MID_0001,17,healthy,8.759331596157018,1.0451965493845126,5.29,0,0,0
MID_0001,18,healthy,9.697092126295717,0.0,5.33,0,0,0
MID_0001,19,healthy,15.26778607142326,2.525818845567015,9.53,0,0,0
MID_0001,20,healthy,9.684961984802877,0.0,5.33,0,0,0
MID_0001,21,healthy,6.464168767021985,4.13879338888975,5.42,0,0,0
MID_0001,22,healthy,28.825269298313184,0.0,15.85,0,0,0
MID_0001,23,healthy,17.151145291403314,10.284845043526438,14.06,0,0,0
MID_0001,24,healthy,9.360538890467337,8.657743268569323,9.04,0,0,0
MID_0002,1,healthy,11.005991928401098,0.0,6.05,0,0,0
MID_0002,2,healthy,12.724441128982281,0.0,7.0,0,0,0
MID_0002,3,healthy,23.183780552863333,11.527123284058172,17.94,0,0,0
MID_0002,4,healthy,8.036723535327365,4.867225110683135,6.61,0,0,0
MID_0002,5,healthy,9.729184315122781,5.368385059419783,7.77,0,0,0
MID_0002,6,healthy,11.450783298212334,8.798384341509824,10.26,0,0,0
MID_0002,7,healthy,12.637243148476134,1.52170007071117,7.64,0,0,0
MID_0002,8,healthy,12.292227670301022,8.835223870302263,10.74,0,0,0
MID_0002,9,healthy,10.678261523463418,0.0,5.87,0,0,0
MID_0002,10,healthy,16.41009539107263,22.58201438218829,19.19,0,0,0
MID_0002,11,healthy,16.384728914175213,23.133288978877257,19.42,0,0,0
MID_0002,12,healthy,9.58794047298034,10.867408858413297,10.16,0,0,0
MID_0002,13,healthy,12.454868669845801,3.984805002000341,8.64,0,0,0
MID_0002,14,healthy,14.412215331955558,12.78151251561571,13.68,0,0,0
MID_0002,15,healthy,9.876675417512267,3.3878747567698966,6.96,0,0,0
MID_0002,16,healthy,9.217092214941342,2.1074814796358132,6.02,0,0,0
MID_0002,17,healthy,16.363465818985183,9.592138524429108,13.32,0,0,0
MID_0002,18,healthy,15.941415960853583,17.982876221191404,16.86,0,0,0
MID_0002,19,healthy,9.820310384804042,6.466536823769407,8.31,0,0,0
MID_0002,20,healthy,9.14173200723229,15.77640755808894,12.13,0,0,0
MID_0002,21,healthy,9.866088146942818,14.934997934533135,12.15,0,0,0
MID_0002,22,healthy,20.123493398971654,13.852630149689531,17.3,0,0,0
MID_0002,23,healthy,14.251979637995154,10.242525816867005,12.45,0,0,0
MID_0002,24,healthy,14.707817527742503,15.546733038537198,15.09,0,0,0
MID_0003,1,healthy,3.572275572047148,0.0,1.96,0,0,0
MID_0003,2,healthy,7.351869671546235,0.0,4.04,0,0,0
MID_0003,3,healthy,4.600413040387886,0.0,2.53,0,0,0
MID_0003,4,healthy,7.438523184744892,14.98783052358686,10.84,0,0,0
MID_0003,5,healthy,11.522413873101998,3.723654296014668,8.01,0,0,0
MID_0003,6,healthy,2.7811825843627456,0.0,1.53,0,0,0
MID_0003,7,healthy,4.114920376448807,0.0,2.26,0,0,0
MID_0003,8,healthy,4.901553753811232,0.0,2.7,0,0,0
MID_0003,9,healthy,7.2341924699474704,0.0,3.98,0,0,0
MID_0003,10,healthy,9.198163407472292,7.183917906957232,8.29,0,0,0
MID_0003,11,healthy,6.607232136655826,4.1383146474726225,5.5,0,0,0
MID_0003,12,healthy,11.510562112507833,4.838284768254589,8.51,0,0,0
MID_0003,13,healthy,4.260504954182309,4.205634142714406,4.24,0,0,0
MID_0003,14,healthy,14.024396519123878,0.58362906166528,7.98,0,0,0
MID_0003,15,healthy,15.293333617267798,14.640406448111232,15.0,0,0,0
MID_0003,16,healthy,8.910185045377418,1.7830329770543465,5.7,0,0,0
MID_0003,17,healthy,7.974173877324866,4.2635618962668955,6.3,0,0,0
MID_0003,18,healthy,7.266310503898452,0.0,4.0,0,0,0
MID_0003,19,healthy,11.777615181521234,19.820628770883744,15.4,0,0,0
MID_0003,20,healthy,7.919266470828842,11.695488003847188,9.62,0,0,0
MID_0003,21,healthy,9.929328577216156,21.954334758522677,15.34,0,0,0
MID_0003,22,healthy,8.888659724497982,16.29264737384217,12.22,0,0,0
MID_0003,23,healthy,5.44405618699151,15.740039970896133,10.08,0,0,0
MID_0003,24,healthy,12.80130435878964,8.271540451545986,10.76,0,0,0
