merchant_id,week,umap_x,umap_y,cluster_label
MID_0001,1,15.8171,2.7033,Risky
MID_0001,2,10.8749,-0.0101,Risky
MID_0001,3,11.3728,4.7937,Healthy
MID_0001,4,10.8664,-0.9508,Risky
MID_0001,5,0.6434,3.4293,Risky
MID_0001,6,11.6651,4.5511,Healthy
MID_0001,7,16.1149,4.751,Healthy
MID_0001,8,8.5593,7.8564,Healthy
MID_0001,9,10.9487,5.0561,Healthy
MID_0001,10,7.9583,9.9084,Healthy
MID_0001,11,11.9604,-0.061,Risky
MID_0001,12,12.2316,4.2056,Risky
MID_0001,13,15.3684,7.5085,Healthy
MID_0001,14,12.0887,3.2575,Risky
MID_0001,15,9.4651,7.0663,Healthy
MID_0001,16,16.118,4.8574,Healthy
MID_0001,17,8.8456,7.613,Healthy
MID_0001,18,11.8605,5.1782,Healthy
MID_0001,19,12.0345,-0.2081,Risky
MID_0001,20,8.8503,7.6002,Healthy
MID_0001,21,11.3426,-0.3508,Risky
MID_0001,22,8.3795,9.4588,Healthy
MID_0001,23,11.6856,0.3973,Risky
MID_0001,24,0.5299,3.7099,Risky
MID_0002,1,4.647,5.276,Healthy
MID_0002,2,4.6561,5.2855,Healthy
MID_0002,3,4.8944,6.3623,Healthy
MID_0002,4,5.6725,7.309,Healthy
MID_0002,5,5.7497,7.2191,Healthy
MID_0002,6,13.2283,8.3027,Healthy
MID_0002,7,5.9709,7.3709,Healthy
MID_0002,8,13.1774,8.293,Healthy
MID_0002,9,6.0067,7.0194,Healthy
MID_0002,10,5.4306,9.3613,Healthy
MID_0002,11,4.6647,2.886,Healthy
MID_0002,12,5.5171,7.4941,Healthy
MID_0002,13,5.0903,3.845,Healthy
MID_0002,14,12.9821,12.0709,Healthy
MID_0002,15,5.7137,7.3885,Healthy
MID_0002,16,13.3742,8.799,Healthy
MID_0002,17,13.3736,12.1222,Healthy
MID_0002,18,5.793,8.0387,Healthy
MID_0002,19,5.8728,6.7654,Healthy
MID_0002,20,5.5126,7.6016,Healthy
MID_0002,21,5.4038,7.5241,Healthy
MID_0002,22,5.5152,9.5314,Healthy
MID_0002,23,4.6848,2.8515,Healthy
MID_0002,24,12.9605,12.0824,Healthy
MID_0003,1,15.0842,2.1547,Risky
MID_0003,2,16.1122,4.564,Healthy
MID_0003,3,12.6645,4.0013,Risky
MID_0003,4,11.0563,4.8566,Healthy
MID_0003,5,11.0958,-0.8896,Risky
MID_0003,6,12.5172,4.1743,Risky
MID_0003,7,12.683,4.1405,Risky
MID_0003,8,11.0308,-0.7381,Risky
MID_0003,9,0.614,3.4257,Risky
MID_0003,10,11.8103,5.1813,Healthy
MID_0003,11,11.3846,-0.584,Risky
MID_0003,12,0.309,3.6297,Risky
MID_0003,13,12.2638,3.9836,Risky
MID_0003,14,12.2093,3.4742,Risky
MID_0003,15,16.1301,4.9219,Healthy
MID_0003,16,12.5294,3.4442,Risky
MID_0003,17,17.6667,10.5878,Healthy
MID_0003,18,11.9148,5.0809,Healthy
MID_0003,19,11.6162,0.3931,Risky
MID_0003,20,12.1252,4.1238,Risky
MID_0003,21,10.9186,0.2679,Risky
MID_0003,22,11.3944,4.8713,Healthy
MID_0003,23,11.5439,-0.6552,Risky
