merchant_id,week,segment,gmv,txn_count,avg_ticket_size,refund_amount,refund_rate,chargeback_amount,chargeback_rate,refund_count,chargeback_count,gmv_prev_week,gmv_pct_change,gmv_4w_rolling_avg,gmv_4w_rolling_std,gmv_trend_slope,gmv_volatility,refund_rate_4w_avg,refund_acceleration,chargeback_rate_4w_avg,chargeback_acceleration,txn_count_volatility,ticket_size_drift,refund_to_chargeback_ratio,cumulative_chargeback_ratio,is_seasonal_spike,failure_week,churned,anomaly_score,cluster_label,umap_x,umap_y,health_score,survival_prob_4w,revenue_at_risk
MID_0001,1,healthy,188496.76,170,1108.8,2379.97,0.01,1277.15,0.00568,2,1,,0.0,188496.76,0.0,0.0,0.0,0.01,0.0,0.00568,0.0,0.0,1.0,1.7602534765006161,0.006775448023579952,0,,0,,,,,,,
MID_0001,2,healthy,181699.73,139,1307.19,3683.81,0.01749,1245.56,0.00568,2,0,188496.76,-0.03606,185098.245,4806.226004928388,-6797.029999999999,0.02596581077741943,0.013745,0.007489999999999998,0.00568,0.0,21.920310216782973,1.1789231601731602,3.0786833303995773,0.006814516258631154,0,,0,,,,,,,
MID_0001,3,healthy,199768.63,182,1097.63,4881.13,0.02207,734.3,0.00264,4,0,181699.73,0.09944,189988.37333333332,9126.333850710998,5635.934999999998,0.048036275539087174,0.01652,0.004580000000000001,0.004666666666666667,-0.00304,22.188585654190163,0.9899260461760463,8.356683074592956,0.005714402312889402,0,,0,,,,,,,
MID_0001,4,healthy,191079.56,165,1158.06,3363.23,0.01515,1028.2,0.00433,2,0,199768.63,-0.0435,190261.17,7471.567335916435,2581.729999999996,0.03927005881377248,0.0161775,-0.006919999999999999,0.0045825,0.0016899999999999997,18.129166187849535,1.0444264069264069,3.4980374047564076,0.005630694376569808,0,,0,,,,,,,
MID_0001,5,healthy,188680.87,180,1048.23,3693.77,0.01697,372.68,0.001,3,0,191079.56,-0.01255,190307.1975,7457.628905674942,1225.4349999999947,0.03918731925856748,0.01792,0.0018199999999999987,0.0034124999999999997,-0.0033299999999999996,19.841034919244176,0.9453733766233767,16.953046953046954,0.004904458977643695,0,,0,,,,,,,
MID_0001,6,healthy,197021.41,180,1094.56,4363.47,0.01975,626.48,0.00208,3,0,188680.87,0.0442,194137.6175,5136.547800169426,-1064.0350000000005,0.02645828184299711,0.018485,0.0027800000000000012,0.0025125,0.0010799999999999998,7.889866919029767,0.8373381069316626,9.490629505045652,0.004608139532365006,0,,0,,,,,,,
MID_0001,7,healthy,191886.94,140,1370.62,3336.97,0.01498,1614.54,0.00723,2,1,197021.41,-0.02606,192167.195,3510.904823076281,1076.2680000000023,0.018270052924787766,0.016712499999999998,-0.00477,0.00366,0.00515,18.874586088176883,1.2487085812158922,2.0716360116166506,0.00515369437453724,0,,0,,,,,,,
MID_0001,8,healthy,202834.7,175,1159.06,4927.43,0.02188,2003.76,0.00884,4,1,191886.94,0.05705,195105.97999999998,6192.63654019841,3732.702000000005,0.031739860255265734,0.018395,0.0069,0.0047875,0.0016100000000000003,19.311050377094123,1.0008635131167642,2.474833163669268,0.005775446869299981,0,,0,,,,,,,
MID_0001,9,healthy,203148.64,169,1202.06,7451.5,0.03428,407.15,0.001,6,0,202834.7,0.00155,198722.9225,5357.84443992411,2932.9450000000043,0.026961381065121706,0.0227225,0.012399999999999998,0.0047875,-0.00784,17.907168024751066,1.1467521440905144,34.24575424575425,0.005336310903355892,0,,0,,,,,,,
MID_0001,10,healthy,259367.39,190,1365.09,10224.17,0.03735,1679.48,0.00575,7,1,203148.64,0.27674,214309.41750000004,30491.640817105268,20275.529000000002,0.1422785856667404,0.0271225,0.0030700000000000033,0.005705,0.00475,20.95232683975697,1.2471586756322175,6.49452269170579,0.0054837246930354525,1,,0,,,,,,,
